index,x,y,col,row,is_interpolated
7238,584455.0456193078,5789833.511523006,2330,2021,True
7239,584454.6696623933,5789832.14890465,2330,2023,True
7240,584454.2937054787,5789830.786286294,2329,2024,True
7241,584453.917748564,5789829.423667938,2329,2026,True
7242,584453.5417916494,5789828.061049582,2328,2028,False
7243,584453.1788056801,5789826.693519173,2328,2030,True
7244,584452.8158197108,5789825.325988764,2327,2032,True
7245,584452.4528337414,5789823.958458356,2327,2034,True
7246,584452.0898477721,5789822.590927946,2326,2035,True
7247,584451.7268618029,5789821.223397537,2326,2037,True
7248,584451.3638758336,5789819.855867128,2325,2039,True
7249,584451.0008898643,5789818.48833672,2325,2041,True
7250,584450.6379038949,5789817.12080631,2324,2043,True
7251,584450.2749179256,5789815.753275901,2324,2045,True
7252,584449.9119319563,5789814.385745492,2323,2047,True
7253,584449.548945987,5789813.0182150835,2323,2048,True
7254,584449.1859600177,5789811.650684674,2322,2050,True
7255,584448.8229740483,5789810.283154265,2322,2052,True
7256,584448.459988079,5789808.915623856,2321,2054,True
7257,584448.0970021097,5789807.548093447,2321,2056,True
7258,584447.7340161405,5789806.180563038,2320,2058,True
7259,584447.3710301712,5789804.813032629,2320,2060,True
7260,584447.0080442018,5789803.44550222,2319,2061,True
7261,584446.6450582325,5789802.077971811,2319,2063,True
7262,584446.2820722632,5789800.710441402,2318,2065,True
7263,584445.9190862939,5789799.342910993,2318,2067,True
7264,584445.5561003246,5789797.975380584,2317,2069,True
7265,584445.1931143552,5789796.607850175,2317,2071,True
7266,584444.8301283859,5789795.240319766,2316,2073,True
7267,584444.4671424166,5789793.872789357,2316,2074,True
7268,584444.1041564473,5789792.505258948,2315,2076,True
7269,584443.741170478,5789791.137728538,2315,2078,True
7270,584443.3781845086,5789789.77019813,2314,2080,True
7271,584443.0151985394,5789788.402667721,2314,2082,True
7272,584442.6522125701,5789787.035137312,2313,2084,True
7273,584442.2892266008,5789785.667606902,2313,2086,True
7274,584441.9262406315,5789784.300076494,2312,2087,True
7275,584441.5632546621,5789782.932546085,2312,2089,True
7276,584441.2002686928,5789781.5650156755,2311,2091,True
7277,584440.8372827235,5789780.197485266,2311,2093,True
7278,584440.4742967542,5789778.829954858,2311,2095,True
7279,584440.1113107849,5789777.462424449,2310,2097,True
7280,584439.7483248156,5789776.094894039,2310,2098,True
7281,584439.3853388462,5789774.72736363,2309,2100,True
7282,584439.022352877,5789773.359833222,2309,2102,True
